2023-06-22 12:16:53,877|eb2c125973d1|seataServer.properties|SEATA_GROUP|null|unknown|1687406074107|pull|ok|1339770|172.22.0.3|false
2023-06-22 12:16:54,077|eb2c125973d1|seataServer.properties|SEATA_GROUP|null|unknown|1687406074107|pull|ok|1339970|172.22.0.3|false
2023-06-22 12:16:54,277|eb2c125973d1|seataServer.properties|SEATA_GROUP|null|unknown|1687406074107|pull|ok|1340170|172.22.0.3|false
2023-06-22 12:16:54,477|eb2c125973d1|seataServer.properties|SEATA_GROUP|null|unknown|1687406074107|pull|ok|1340370|172.22.0.3|false
2023-06-22 12:16:54,678|eb2c125973d1|seataServer.properties|SEATA_GROUP|null|unknown|1687406074107|pull|ok|1340571|172.22.0.3|false
2023-06-22 12:16:54,877|eb2c125973d1|seataServer.properties|SEATA_GROUP|null|unknown|1687406074107|pull|ok|1340770|172.22.0.3|false
2023-06-22 12:16:55,077|eb2c125973d1|seataServer.properties|SEATA_GROUP|null|unknown|1687406074107|pull|ok|1340970|172.22.0.3|false
2023-06-22 12:16:55,277|eb2c125973d1|seataServer.properties|SEATA_GROUP|null|unknown|1687406074107|pull|ok|1341170|172.22.0.3|false
2023-06-22 12:16:55,477|eb2c125973d1|seataServer.properties|SEATA_GROUP|null|unknown|1687406074107|pull|ok|1341370|172.22.0.3|false
2023-06-22 12:16:55,678|eb2c125973d1|seataServer.properties|SEATA_GROUP|null|unknown|1687406074107|pull|ok|1341571|172.22.0.3|false
2023-06-22 12:16:55,877|eb2c125973d1|seataServer.properties|SEATA_GROUP|null|unknown|1687406074107|pull|ok|1341770|172.22.0.3|false
2023-06-22 12:16:56,077|eb2c125973d1|seataServer.properties|SEATA_GROUP|null|unknown|1687406074107|pull|ok|1341970|172.22.0.3|false
2023-06-22 12:16:56,276|eb2c125973d1|seataServer.properties|SEATA_GROUP|null|unknown|1687406074107|pull|ok|1342169|172.22.0.3|false
2023-06-22 12:16:56,477|eb2c125973d1|seataServer.properties|SEATA_GROUP|null|unknown|1687406074107|pull|ok|1342370|172.22.0.3|false
2023-06-22 12:16:56,676|eb2c125973d1|seataServer.properties|SEATA_GROUP|null|unknown|1687406074107|pull|ok|1342569|172.22.0.3|false
2023-06-22 12:16:56,877|eb2c125973d1|seataServer.properties|SEATA_GROUP|null|unknown|1687406074107|pull|ok|1342770|172.22.0.3|false
2023-06-22 12:16:57,077|eb2c125973d1|seataServer.properties|SEATA_GROUP|null|unknown|1687406074107|pull|ok|1342970|172.22.0.3|false
2023-06-22 12:16:57,277|eb2c125973d1|seataServer.properties|SEATA_GROUP|null|unknown|1687406074107|pull|ok|1343170|172.22.0.3|false
2023-06-22 12:16:57,481|eb2c125973d1|seataServer.properties|SEATA_GROUP|null|unknown|1687406074107|pull|ok|1343374|172.22.0.3|false
